No;Tweet;Sentiment
1;Wieczorny spacer :) Coś przyjemnego na koniec dnia :D  #spacer #zima #odpoczynek;happy
2;#spacer w otoczeniu pięknej śnieżnej zimy #odpoczynek ;neutral 
3;Trochę odpoczynku w rodzinnym mieście. #odpoczynek #weekend;neutral 
4;Wreszcie weekendzik! #odpoczynek #wkońcu #piatek;happy
5;Poranna kawa z mlekiem i cynamonem :) Zapowiada się miła niedziela #niedziela #czas #odpoczynek… ;happy
6;Dobrze że jutro wolne bo już nie mam energii na pracę. #odpoczynek #sobota #pozytywnie;indeterminate
7;Kobieto! Zamiast gotować obiad, idź z koleżanką na kawę! :) :) :D #AgnieszkaCegielska w @DDTVN #naturalnie #odpoczynek;happy
8;"Spacer najlepszy lek na sen ;) polecam #spacer #relaks #odpoczynek";happy
9;Pozdawiam i życzę wszystkim miłego weekendu :) #weekend #sobota #wolne #relaks #odpoczynek;happy
10;"spacer najlepszy lek na sen ;) polecam #spacer #relaks #odpoczynek";happy
11;Już nie pamiętam kiedy miałem taki leniwy wieczór przed telewizorem #odpoczynek;neutral 
12;Oszukaj swój mózg i zrób chwilę przerwy a.... Zdrowie , na zdrowie #relaks #odpoczynek #ladowaniebaterii http://;neutral 
13;To zaczynam odliczanie... jeszcze tydzień i kierunek - morze :) #morze #morzebałtyckie #wakacje #plaża #odpoczynek;happy
14;Spacerujac sobie po jednej z lokalnych wiosek w okolicach #Cusco :-) #Peru #wakacje #odpoczynek #wyprawy :-)…;happy
15;Komary, widoki, wieczór, klimat. Dobra rozmowa , miło spędzony czas … #wtorek #odpoczynek ;neutral 
16;Niedziela, spełniony ... :) #mazury #caffe #cisza #spokój #odpoczynek ;happy
17;W Kazimierzu jest miło i smacznie :) #pizza #widoki #odpoczynek ;happy
18;W końcu upragniony urlop :D :D :D #jackruns #urlop #wakacje #odpoczynek #lotniskochopina;happy
19;Przeczytaj dlaczego warto odpoczywać blisko natury https://odpocznijnazielonym.pl/blog/dlaczego-warto-odpoczywac-na-zielonym … #natura #relaks #odpoczynek #polska #rzeszow #nazielonym;neutral 
20;W życiu trzeba umieć się wyluzować. :) :) :D :D #hamak #relaks #relax #odpoczynek #chillou…;happy
21;"Ostatnie dni praktyk ;) #odpoczynek #wakacje #2miesiącewolnego #summer #herbatka";happy
22;Dziś stawiamy na pogodę :) Czas wyprostować nogi i twarzą w stronę słońca! #Marena #weekend #odpoczynek #nadmorzem;neutral 
23;round my hometown #inowroclaw #weekend #odpoczynek i #euro2016! :);happy
24;#Odpoczynek po weekendzie. ;neutral 
25;Aktywny odpoczynek w Wiśle! :D #rower #wisła #bicycle #odpoczynek ;happy
26;Leniwego weekendu życzymy wam. :) #masaż #masaże #weekend #odpoczynek #lenistwo #regeneracja;neutral 
